Название продукта,Картинка,Описание,Цена
"
            Toyota RAV4 4 поколение [рестайлинг] Кроссовер , 2016 ",https://i.cars.kg/preview/r/um-Gi0ZkNTO_gAsqZ-o8AQ/1080x-/20220713/ec63323ca61e32aa6962059646f35006.jpg,"
            Toyota RAV4 4 поколение [рестайлинг] Кроссовер , 2016 ",20000$ 
"
            Toyota Avalon XX30 [рестайлинг] Седан , 2008 ",https://i.cars.kg/preview/r/RAPrkpaL7eNI_cIKNpvqbw/1080x-/20220711/5ae59176c5e8f23cfd74718a40702687.jpg,"
            Toyota Avalon XX30 [рестайлинг] Седан , 2008 ",13500$ 
"
            Toyota Land Cruiser Prado J90 Внедорожник 5-дв. , 1996 ",https://i.cars.kg/preview/r/1yXETR3DClYdSGXGrYZvyQ/1080x-/20220708/a89c31cb4d6ef60ec14c2ca242a32b5c.jpg,"
            Toyota Land Cruiser Prado J90 Внедорожник 5-дв. , 1996 ",8900$ 
"
            Toyota Platz 1 поколение Седан , 2001 ",https://i.cars.kg/preview/r/IiNHi8LmKpfNSuznOiQxUA/1080x-/20220713/87dc59e343f126d1472a5ceb1bb40f3a.jpeg,"
            Toyota Platz 1 поколение Седан , 2001 ",4900$ 
"
            Toyota TAYOTA COROLLA RUNX, 2003 ",https://i.cars.kg/preview/r/vejFp2_u34wdPl9a3wHaCA/1080x-/20220619/030fb90acc2391810a78a0696b4c865f.jpg,"
            Toyota TAYOTA COROLLA RUNX, 2003 ",6$ 
"
            Toyota Highlander , 2021 ",https://i.cars.kg/preview/r/p5gqPSAL4Vwk603FGURmKg/1080x-/20220329/fca0b17f57b6b5150ef4ece62dab5ae5.jpg,"
            Toyota Highlander , 2021 ",72000$ 
"
            Toyota Land Cruiser J200 Внедорожник , 2011 ",https://i.cars.kg/preview/r/rvEuYSvM8D1pKMRbwH2YAA/1080x-/20220714/5d2c8412b83c30ea9b071bc57a5bc26b.jpg,"
            Toyota Land Cruiser J200 Внедорожник , 2011 ",47000$ 
"
            Toyota Prius , 2016 ",https://i.cars.kg/preview/r/KYVQJbqDgP6jrNpWSyJ5Vg/1080x-/20220713/b373e3ca6f6c436450fc6cc742324744.jpg,"
            Toyota Prius , 2016 ",15000$ 
"
            Toyota Camry XV30 [рестайлинг] , 2005 ",https://i.cars.kg/preview/r/1VNSiJ6Hm6l0vGzbZo2EeQ/1080x-/20220713/283a75c17d2f76757a67a0a1fb53011e.jpg,"
            Toyota Camry XV30 [рестайлинг] , 2005 ",9262$ 
"
            Toyota Prius 4 поколение , 2016 ",https://i.cars.kg/preview/r/qQLwl19K2EaAZO7iVY3cTQ/1080x-/20220713/57518ec41e09770fd3dc22d658173d5e.jpg,"
            Toyota Prius 4 поколение , 2016 ",16600$ 
