Название продукта,Картинка,Описание,Цена
Сотовый телефон Xiaomi Mi 11 Lite 8/128GB розовый,https://www.kivano.kg/images/product/90892/1617994886_34354200.jpg,"Сотовый телефон Xiaomi Mi 11 Lite 8/128GB розовый        экран: 6.55"" (2400x1080) 90 Гц, оперативная память: 8 ГБ, память: 128 ГБ, слот для карты памяти, 3 камеры: 64 МП, 8 МП, 5 МП, аккумулятор: 4250 мА·ч, процессор: Qualcomm Snapdragon...            ",24420 сом
Сотовый телефон Xiaomi Redmi 10 4/128GB серый,https://www.kivano.kg/images/product/97292/1630854310_48805900.jpg,"Сотовый телефон Xiaomi Redmi 10 4/128GB серый        смартфон на платформе Android 11, поддержка двух SIM-карт, экран 6.5"", разрешение 2400x1080, четыре камеры 50 МП/8 МП/2 МП/2 МП, автофокус, память 128 ГБ, слот для карты памяти, 3G, 4G LTE,...            ",13770 сом
Сотовый телефон Tecno Pop 5 LTE 2/32GB голубой,https://www.kivano.kg/images/product/103436/1645004405_35408300.jpg,"Сотовый телефон Tecno Pop 5 LTE 2/32GB голубой        Операционная система Android 10 Go; экран 6.5"" IPS 1600x720~60 Гц; процессор Unisoc SC9863A x8 core; память 2/32 GB; основная камера 8 mpx; фронтальная камера 5 mpx; аккумулятор 5000 mAh; dual...            ",9290 сом
Сотовый телефон Xiaomi 12 12/256GB голубой,https://www.kivano.kg/images/product/105228/1649419104_93416600.jpg,"Сотовый телефон Xiaomi 12 12/256GB голубой        Операционная система Android 12; экран 6.2"" AMOLED 2400х1080 ~120 Гц; процессор Snapdragon 8 x8 core; память 12/256 GB; основная камера 50 mpx (F/1.9); фронтальная камера 32 mpx (F/2.5); аккумулятор 4500...            ",55380 сом
Сотовый телефон Samsung Galaxy A13 4G 4/128GB белый,https://www.kivano.kg/images/product/105484/1650357974_27932300.jpg,"Сотовый телефон Samsung Galaxy A13 4G 4/128GB белый        Операционная система Android 12; экран 6.6"" PLS 2408х1080 ~60 Гц; процессор Samsung Exynos 850 x8 core; память 4/128 GB; основная камера 50 mpx (F/1.8); фронтальная камера 8 mpx (F/2.2); аккумулятор...            ",14880 сом
Сотовый телефон Xiaomi Redmi 10A 4/64GB синий,https://www.kivano.kg/images/product/107276/1654620873_00480300.jpg,"Сотовый телефон Xiaomi Redmi 10A 4/64GB синий        Операционная система Android 11; экран 6.5"" IPS 1600х720 ~60 Гц; процессор MediaTek Helio G25 2000Mhz, x8 core; память 4/64 GB; основная камера 13 mpx (F/2.2); фронтальная камера 5 mpx (F/2.2);...            ", 11440 сом-2%11270 сом
Сотовый телефон Xiaomi 11 Lite 5G NE 8/256GB розовый,https://www.kivano.kg/images/product/108300/1656853166_94329500.jpg,"Сотовый телефон Xiaomi 11 Lite 5G NE 8/256GB розовый        Операционная система Android 11; экран 6.5"" AMOLED 2400х1080 ~90 Гц; процессор Snapdragon 778G x8 core; память 8/256 GB; основная камера 64 mpx (F/1.8); фронтальная камера 20 mpx (F/2.2); аккумулятор 4250...            ",27260 сом
Сотовый телефон Xiaomi Redmi 10 4/64GB серый,https://www.kivano.kg/images/product/97293/1630854442_62443400.jpg,"Сотовый телефон Xiaomi Redmi 10 4/64GB серый        смартфон на платформе Android 11, поддержка двух SIM-карт, экран 6.5"", разрешение 2400x1080, четыре камеры 50 МП/8 МП/2 МП/2 МП, автофокус, память 64 ГБ, слот для карты памяти, 3G, 4G LTE,...            ",12810 сом
Сотовый телефон Tecno Pop 5 LTE 2/32GB синий,https://www.kivano.kg/images/product/103437/1645004447_90529500.jpg,"Сотовый телефон Tecno Pop 5 LTE 2/32GB синий        Операционная система Android 10 Go; экран 6.5"" IPS 1600x720~60 Гц; процессор Unisoc SC9863A x8 core; память 2/32 GB; основная камера 8 mpx; фронтальная камера 5 mpx; аккумулятор 5000 mAh; dual...            ",9290 сом
Сотовый телефон Xiaomi 12 12/256GB серый,https://www.kivano.kg/images/product/105229/1649419306_24235400.jpg,"Сотовый телефон Xiaomi 12 12/256GB серый        Операционная система Android 12; экран 6.2"" AMOLED 2400х1080 ~120 Гц; процессор Snapdragon 8 x8 core; память 12/256 GB; основная камера 50 mpx (F/1.9); фронтальная камера 32 mpx (F/2.5); аккумулятор 4500...            ",55380 сом
